,hour,minute,price,time
0,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=0, tm_wday=3, tm_yday=50, tm_isdst=0)"
1,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=5, tm_wday=3, tm_yday=50, tm_isdst=0)"
2,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=10, tm_wday=3, tm_yday=50, tm_isdst=0)"
3,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=15, tm_wday=3, tm_yday=50, tm_isdst=0)"
4,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=20, tm_wday=3, tm_yday=50, tm_isdst=0)"
5,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=25, tm_wday=3, tm_yday=50, tm_isdst=0)"
6,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=30, tm_wday=3, tm_yday=50, tm_isdst=0)"
7,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=35, tm_wday=3, tm_yday=50, tm_isdst=0)"
8,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=40, tm_wday=3, tm_yday=50, tm_isdst=0)"
9,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=45, tm_wday=3, tm_yday=50, tm_isdst=0)"
10,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=50, tm_wday=3, tm_yday=50, tm_isdst=0)"
11,0,16,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=16, tm_sec=55, tm_wday=3, tm_yday=50, tm_isdst=0)"
12,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=0, tm_wday=3, tm_yday=50, tm_isdst=0)"
13,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=5, tm_wday=3, tm_yday=50, tm_isdst=0)"
14,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=10, tm_wday=3, tm_yday=50, tm_isdst=0)"
15,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=15, tm_wday=3, tm_yday=50, tm_isdst=0)"
16,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=20, tm_wday=3, tm_yday=50, tm_isdst=0)"
17,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=25, tm_wday=3, tm_yday=50, tm_isdst=0)"
18,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=30, tm_wday=3, tm_yday=50, tm_isdst=0)"
19,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=35, tm_wday=3, tm_yday=50, tm_isdst=0)"
20,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=40, tm_wday=3, tm_yday=50, tm_isdst=0)"
21,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=45, tm_wday=3, tm_yday=50, tm_isdst=0)"
22,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=50, tm_wday=3, tm_yday=50, tm_isdst=0)"
23,0,17,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=17, tm_sec=55, tm_wday=3, tm_yday=50, tm_isdst=0)"
24,0,18,109.0,"time.struct_time(tm_year=2015, tm_mon=2, tm_mday=19, tm_hour=0, tm_min=18, tm_sec=0, tm_wday=3, tm_yday=50, tm_isdst=0)"
